section_id,concept_id,relationship_type,relevance_score
BNS_303,CONCEPT_001,APPLIES_TO,1.0
BNS_303,CONCEPT_006,APPLIES_TO,1.0
BNS_303,CONCEPT_007,APPLIES_TO,1.0
BNS_303,CONCEPT_008,APPLIES_TO,1.0
BNS_303,CONCEPT_011,APPLIES_TO,1.0
BNS_303,CONCEPT_012,APPLIES_TO,1.0
BNS_303,CONCEPT_014,APPLIES_TO,1.0
BNS_303,CONCEPT_015,APPLIES_TO,1.0
BNS_303,CONCEPT_016,APPLIES_TO,1.0
BNS_303,CONCEPT_017,APPLIES_TO,1.0
BNS_303,CONCEPT_018,APPLIES_TO,1.0
BNS_303,CONCEPT_020,APPLIES_TO,1.0
BNS_304,CONCEPT_001,APPLIES_TO,1.0
BNS_304,CONCEPT_002,APPLIES_TO,1.0
BNS_304,CONCEPT_012,APPLIES_TO,1.0
BNS_304,CONCEPT_014,APPLIES_TO,1.0
BNS_304,CONCEPT_016,APPLIES_TO,1.0
BNS_305,CONCEPT_001,APPLIES_TO,1.0
BNS_305,CONCEPT_012,APPLIES_TO,1.0
BNS_305,CONCEPT_013,APPLIES_TO,1.0
BNS_306,CONCEPT_001,APPLIES_TO,1.0
BNS_306,CONCEPT_012,APPLIES_TO,1.0
BNS_306,CONCEPT_016,APPLIES_TO,1.0
BNS_307,CONCEPT_001,APPLIES_TO,1.0
BNS_307,CONCEPT_003,APPLIES_TO,1.0
BNS_307,CONCEPT_012,APPLIES_TO,1.0
BNS_307,CONCEPT_016,APPLIES_TO,1.0
BNS_308,CONCEPT_003,APPLIES_TO,1.0
BNS_308,CONCEPT_004,APPLIES_TO,1.0
BNS_308,CONCEPT_005,APPLIES_TO,1.0
BNS_308,CONCEPT_012,APPLIES_TO,1.0
BNS_308,CONCEPT_015,APPLIES_TO,1.0
BNS_308,CONCEPT_016,APPLIES_TO,1.0
BNS_309,CONCEPT_001,APPLIES_TO,1.0
BNS_309,CONCEPT_003,APPLIES_TO,1.0
BNS_309,CONCEPT_004,APPLIES_TO,1.0
BNS_309,CONCEPT_012,APPLIES_TO,1.0
BNS_309,CONCEPT_017,APPLIES_TO,1.0
BNS_310,CONCEPT_004,APPLIES_TO,1.0
BNS_310,CONCEPT_005,APPLIES_TO,1.0
BNS_311,CONCEPT_004,APPLIES_TO,1.0
BNS_311,CONCEPT_005,APPLIES_TO,1.0
BNS_312,CONCEPT_004,APPLIES_TO,1.0
BNS_312,CONCEPT_005,APPLIES_TO,1.0
BNS_313,CONCEPT_001,APPLIES_TO,1.0
BNS_313,CONCEPT_004,APPLIES_TO,1.0
BNS_313,CONCEPT_006,APPLIES_TO,1.0
BNS_313,CONCEPT_012,APPLIES_TO,1.0
BNS_313,CONCEPT_020,APPLIES_TO,1.0
BNS_314,CONCEPT_001,APPLIES_TO,1.0
BNS_314,CONCEPT_006,APPLIES_TO,1.0
BNS_314,CONCEPT_012,APPLIES_TO,1.0
BNS_314,CONCEPT_014,APPLIES_TO,1.0
BNS_314,CONCEPT_015,APPLIES_TO,1.0
