Chapter No.,Chapter Name,Section No.,Section Name,Description,Punishment
13,"Offences,Penalties and Procedure",177,General provision for punishment of offences ,Whoever contravenes any provision of this Act or of any rule regulation or notification made thereunder,"First offence: Fine which may extend to Rs. 100; Second or subsequent offence: Fine which may extend to Rs. 300"
13,"Offences,Penalties and Procedure",178(1),Penalty for travelling without pass or ticket ,Whoever travels in a stage carriage without having a proper pass or ticket with him or being in or having alighted from a stage carriage fails or refuses to present for examination or to deliver up his pass or ticket immediately on a requisition being made therefor,Fine which may extend to Rs. 500
13,"Offences,Penalties and Procedure",178(2),Dereliction of duty on part of conductor,If the conductor of a stage carriage or the driver of a stage carriage performing the functions of a conductor whose duty is to supply a ticket to a person travelling in a stage carriage on payment of fare by such person either wilfully or negligently fails or refuses to accept the fare when tendered or fails or refuses to supply a ticket or supplies an invalid ticket or supplies a ticket of a lesser value or to check any pass or ticket either wilfully or negligently fails or refuses to do so,Fine which may extend to Rs. 500
13,"Offences,Penalties and Procedure",178(3),Refusal to ply contract carriage,If the holder of a permit or the driver of a contract carriage refuses in contravention of the provisions of this Act or rules made thereunder to ply the contract carriage or to carry the passengers,"In case of two-wheeled or three-wheeled motor vehicles: Fine which may extend to Rs. 50; In any other case: Fine which may extend to Rs. 200"
13,"Offences,Penalties and Procedure",179(1),Disobedience of orders and obstruction,Whoever wilfully disobeys any direction lawfully given by any person or authority empowered under this Act to give such direction or obstructs any person or authority in the discharge of any functions which such person or authority is required or empowered under this Act to discharge shall if no other penalty is provided for the offence,Fine which may extend to Rs. 500
13,"Offences,Penalties and Procedure",179(2),Refusal of information,Whoever being required by or under this Act to supply any information wilfully withholds such information or gives information which he knows to be false or which he does not believe to be true shall if no other penalty is provided for the offence,"Imprisonment for a term which may extend to 1 month, or fine which may extend to Rs. 500, or both"
13,"Offences,Penalties and Procedure",180,Allowing unauthorised persons to drive vehicles,Whoever being the owner or person in charge of a motor vehicle causes or permits any other person who does not satisfy the provisions of Section 3 or Section 4 to drive the vehicle,"Imprisonment for a term which may extend to 3 months, or fine which may extend to Rs. 1000, or both"
13,"Offences,Penalties and Procedure",181,Driving vehicles in contravention of Section 3 or Section 4,Whoever drives a motor vehicle in contravention of Section 3 or Section 4,"Imprisonment for a term which may extend to 3 months, or fine which may extend to Rs. 500, or both"
13,"Offences,Penalties and Procedure",182(1),Offences relating to driving licences ,Whoever being disqualified under this Act for holding or obtaining a driving licence drives a motor vehicle in a public place or in any other place or applies for or obtains a driving licence or not being entitled to have a driving licence issued to him free of endorsement applies for or obtains a driving licence without disclosing the endorsement made on a driving licence previously held by him,"Imprisonment for a term which may extend to 3 months, or fine which may extend to Rs. 500, or both; Any driving licence so obtained by him shall be of no effect"
13,"Offences,Penalties and Procedure",182(2),Offences relating to conductor's licences,Whoever being disqualified under this Act for holding or obtaining a conductor's licence acts as a conductor of a stage carriage in a public place or applies for or obtains a conductor's licence or not being entitled to have a conductor's licence issued to him free of endorsement applies for or obtains a conductor's licence without disclosing the endorsements made on a conductor's licence previously held by him,"Imprisonment for a term which may extend to 1 month, or fine which may extend to Rs. 100, or both; Any conductor's licence so obtained by him shall be of no effect"
